,Airport,_operational_weather_combo,hours,risk_mean,risk_ge2_rate_pct,airport_hours,combo_rate_pct
14,DAD,low_visibility_3sm+rain+heavy_rain,1,6.0,100.0,2208,0.04528985507246377
3,DAD,fog_risk+low_ceiling+low_visibility_3sm+rain,28,5.357142857142857,100.0,2208,1.2681159420289856
10,DAD,low_ceiling+low_visibility_3sm+rain,77,5.025974025974026,100.0,2208,3.4873188405797104
2,DAD,fog_risk+low_ceiling+low_visibility_3sm,41,4.7560975609756095,100.0,2208,1.8568840579710144
6,DAD,fog_risk+low_visibility_3sm+rain,42,4.666666666666667,100.0,2208,1.9021739130434785
9,DAD,low_ceiling+low_visibility_3sm,5,4.2,100.0,2208,0.22644927536231885
13,DAD,low_visibility_3sm+rain,49,4.0,100.0,2208,2.2192028985507246
5,DAD,fog_risk+low_visibility_3sm,94,3.4893617021276597,100.0,2208,4.257246376811595
12,DAD,low_visibility_3sm,56,3.3035714285714284,100.0,2208,2.536231884057971
4,DAD,fog_risk+low_ceiling+rain,43,3.0930232558139537,100.0,2208,1.947463768115942
11,DAD,low_ceiling+rain,153,3.019607843137255,100.0,2208,6.929347826086957
7,DAD,fog_risk+rain,60,1.4666666666666666,40.0,2208,2.717391304347826
16,DAD,rain,438,1.4657534246575343,45.4337899543379,2208,19.83695652173913
8,DAD,low_ceiling,120,1.0583333333333333,5.833333333333333,2208,5.434782608695652
1,DAD,fog_risk+low_ceiling,17,1.0,0.0,2208,0.7699275362318841
15,DAD,none,871,0.06544202066590127,0.1148105625717566,2208,39.447463768115945
0,DAD,fog_risk,113,0.017699115044247787,0.0,2208,5.117753623188405
21,HAN,fog_risk+low_ceiling+low_visibility_3sm+rain+heavy_rain,1,7.0,100.0,2208,0.04528985507246377
20,HAN,fog_risk+low_ceiling+low_visibility_3sm+rain,27,5.37037037037037,100.0,2208,1.2228260869565217
28,HAN,low_ceiling+low_visibility_3sm+rain,61,5.245901639344262,100.0,2208,2.76268115942029
19,HAN,fog_risk+low_ceiling+low_visibility_3sm,19,4.2631578947368425,100.0,2208,0.8605072463768116
24,HAN,fog_risk+low_visibility_3sm+rain,5,4.0,100.0,2208,0.22644927536231885
31,HAN,low_visibility_3sm+rain,4,4.0,100.0,2208,0.18115942028985507
27,HAN,low_ceiling+low_visibility_3sm,4,3.5,100.0,2208,0.18115942028985507
29,HAN,low_ceiling+rain,167,3.095808383233533,100.0,2208,7.563405797101449
22,HAN,fog_risk+low_ceiling+rain,23,3.0434782608695654,100.0,2208,1.0416666666666665
23,HAN,fog_risk+low_visibility_3sm,2,3.0,100.0,2208,0.09057971014492754
30,HAN,low_visibility_3sm,1,2.0,100.0,2208,0.04528985507246377
33,HAN,rain,89,1.303370786516854,28.08988764044944,2208,4.030797101449275
26,HAN,low_ceiling,726,1.046831955922865,4.683195592286501,2208,32.880434782608695
18,HAN,fog_risk+low_ceiling,116,1.0172413793103448,1.7241379310344827,2208,5.253623188405797
25,HAN,fog_risk+rain,4,1.0,0.0,2208,0.18115942028985507
17,HAN,fog_risk,128,0.0078125,0.0,2208,5.797101449275362
32,HAN,none,831,0.007220216606498195,0.0,2208,37.63586956521739
39,SGN,low_visibility_3sm+rain+heavy_rain,3,6.0,100.0,2208,0.1358695652173913
42,SGN,rain+heavy_rain,4,4.25,100.0,2208,0.18115942028985507
36,SGN,fog_risk+low_visibility_3sm+rain,1,4.0,100.0,2208,0.04528985507246377
38,SGN,low_visibility_3sm+rain,22,3.6818181818181817,100.0,2208,0.9963768115942028
35,SGN,fog_risk+low_visibility_3sm,21,3.3333333333333335,100.0,2208,0.9510869565217392
37,SGN,fog_risk+rain,9,1.6666666666666667,66.66666666666666,2208,0.4076086956521739
41,SGN,rain,200,1.54,53.5,2208,9.057971014492754
34,SGN,fog_risk,210,0.023809523809523808,0.0,2208,9.510869565217392
40,SGN,none,1738,0.020138089758342925,0.0,2208,78.71376811594203
