,Airport,_daypart,lowvis_hours,total_hours,lowvis_rate,threshold_m,lowvis_rate_pct
0,DAD,afternoon_12_17,24,552,0.043478260869565216,10000,4.3478260869565215
1,DAD,evening_18_23,32,552,0.057971014492753624,10000,5.797101449275362
2,DAD,morning_06_11,37,552,0.06702898550724638,10000,6.702898550724639
3,DAD,night_00_05,41,552,0.07427536231884058,10000,7.427536231884058
4,HAN,afternoon_12_17,0,552,0.0,10000,0.0
5,HAN,evening_18_23,0,552,0.0,10000,0.0
6,HAN,morning_06_11,0,552,0.0,10000,0.0
7,HAN,night_00_05,3,552,0.005434782608695652,10000,0.5434782608695652
8,SGN,afternoon_12_17,8,552,0.014492753623188406,10000,1.4492753623188406
9,SGN,evening_18_23,10,552,0.018115942028985508,10000,1.8115942028985508
10,SGN,morning_06_11,0,552,0.0,10000,0.0
11,SGN,night_00_05,1,552,0.0018115942028985507,10000,0.18115942028985507
12,DAD,afternoon_12_17,0,552,0.0,5000,0.0
13,DAD,evening_18_23,2,552,0.0036231884057971015,5000,0.36231884057971014
14,DAD,morning_06_11,2,552,0.0036231884057971015,5000,0.36231884057971014
15,DAD,night_00_05,5,552,0.009057971014492754,5000,0.9057971014492754
16,HAN,afternoon_12_17,0,552,0.0,5000,0.0
17,HAN,evening_18_23,0,552,0.0,5000,0.0
18,HAN,morning_06_11,0,552,0.0,5000,0.0
19,HAN,night_00_05,0,552,0.0,5000,0.0
20,SGN,afternoon_12_17,3,552,0.005434782608695652,5000,0.5434782608695652
21,SGN,evening_18_23,2,552,0.0036231884057971015,5000,0.36231884057971014
22,SGN,morning_06_11,0,552,0.0,5000,0.0
23,SGN,night_00_05,0,552,0.0,5000,0.0
24,DAD,afternoon_12_17,0,552,0.0,3000,0.0
25,DAD,evening_18_23,0,552,0.0,3000,0.0
26,DAD,morning_06_11,0,552,0.0,3000,0.0
27,DAD,night_00_05,0,552,0.0,3000,0.0
28,HAN,afternoon_12_17,0,552,0.0,3000,0.0
29,HAN,evening_18_23,0,552,0.0,3000,0.0
30,HAN,morning_06_11,0,552,0.0,3000,0.0
31,HAN,night_00_05,0,552,0.0,3000,0.0
32,SGN,afternoon_12_17,0,552,0.0,3000,0.0
33,SGN,evening_18_23,0,552,0.0,3000,0.0
34,SGN,morning_06_11,0,552,0.0,3000,0.0
35,SGN,night_00_05,0,552,0.0,3000,0.0
