,logical_feature,mapped_column,present,missing_rate_pct,unique_values
0,dew_point_2m,,False,,
1,weather_code,,False,,
2,cape,,False,,
3,lifted_index,,False,,
4,cloud_cover_low,,False,,
5,Dew_Point_Spread_C,,False,,
6,Is_Radiation_Fog_Risk,Is_Radiation_Fog_Risk,True,0.0,1.0
7,Is_Low_Ceiling_Risk,Is_Low_Ceiling_Risk,True,0.0,1.0
8,Is_Severe_Convection_Risk,Is_Severe_Convection_Risk,True,0.0,1.0
9,Convective_Severity_Score,Convective_Severity_Score,True,0.0,1.0
10,Gust_Variation_Kt,Gust_Variation_Kt,True,0.0,96.0
11,Tailwind_Default_Runway_Kt,Tailwind_Default_Runway_Kt,True,0.0,509.0
12,Forced_Runway_Swap_Risk,Forced_Runway_Swap_Risk,True,0.0,3.0
