,time,Airport,Tailwind_Default_Runway_Kt,Forced_Runway_Swap_Risk,Aviation_Operational_Risk_Score,Runway_Wet_Risk,precipitation,wind_speed,Headwind_Kmh,Crosswind_Kmh
1794,2026-02-27 18:00:00,DAD,5.89,2,4,1,0.6,11.4,-10.9,3.33
1793,2026-02-27 17:00:00,DAD,5.2,2,4,1,0.7,10.9,-9.62,5.12
1787,2026-02-27 11:00:00,DAD,5.12,2,4,1,0.2,9.7,-9.49,2.02
1653,2026-02-21 21:00:00,DAD,7.34,1,1,0,0.0,13.8,-13.59,2.4
5607,2026-02-02 15:00:00,SGN,7.11,1,1,0,0.0,15.2,-13.16,7.6
1691,2026-02-23 11:00:00,DAD,6.97,1,1,0,0.0,15.4,-12.92,8.39
1690,2026-02-23 10:00:00,DAD,6.93,1,1,0,0.0,14.4,-12.83,6.54
1643,2026-02-21 11:00:00,DAD,6.9,1,1,0,0.0,13.6,-12.78,4.65
1654,2026-02-21 22:00:00,DAD,6.85,1,1,0,0.0,12.7,-12.69,0.44
1642,2026-02-21 10:00:00,DAD,6.84,1,1,0,0.0,12.9,-12.66,2.46
1689,2026-02-23 09:00:00,DAD,6.74,1,1,0,0.0,13.2,-12.48,4.3
1688,2026-02-23 08:00:00,DAD,6.68,1,1,0,0.0,12.7,-12.37,2.86
1652,2026-02-21 20:00:00,DAD,6.34,1,1,0,0.0,12.5,-11.75,4.28
1704,2026-02-24 00:00:00,DAD,6.27,1,1,0,0.0,11.8,-11.62,2.05
5967,2026-02-17 15:00:00,SGN,6.25,1,1,0,0.0,13.1,-11.57,6.15
5990,2026-02-18 14:00:00,SGN,6.22,1,1,0,0.0,13.9,-11.52,7.77
1683,2026-02-23 03:00:00,DAD,6.16,1,1,0,0.0,12.0,-11.41,3.71
1705,2026-02-24 01:00:00,DAD,6.12,1,1,0,0.0,11.5,-11.33,2.0
1686,2026-02-23 06:00:00,DAD,6.1,1,1,0,0.0,11.4,-11.29,1.59
1703,2026-02-23 23:00:00,DAD,6.07,1,1,0,0.0,11.5,-11.25,2.39
5989,2026-02-18 13:00:00,SGN,6.04,1,1,0,0.0,12.8,-11.2,6.21
1651,2026-02-21 19:00:00,DAD,6.02,1,1,0,0.0,12.4,-11.15,5.44
1650,2026-02-21 18:00:00,DAD,5.91,1,1,0,0.0,13.9,-10.95,8.56
1687,2026-02-23 07:00:00,DAD,5.83,1,1,0,0.0,11.0,-10.8,2.1
1707,2026-02-24 03:00:00,DAD,5.81,1,1,0,0.0,10.9,-10.77,1.71
1281,2026-02-06 09:00:00,DAD,5.77,1,1,0,0.0,10.8,-10.69,1.5
5966,2026-02-17 14:00:00,SGN,5.77,1,1,0,0.0,12.0,-10.69,5.45
5965,2026-02-17 13:00:00,SGN,5.72,1,1,0,0.0,11.5,-10.59,4.49
5978,2026-02-18 02:00:00,SGN,5.72,1,1,0,0.0,11.2,-10.59,3.65
1713,2026-02-24 09:00:00,DAD,5.71,1,1,0,0.0,11.0,-10.57,3.03
1714,2026-02-24 10:00:00,DAD,5.68,1,1,0,0.0,11.6,-10.51,4.9
1684,2026-02-23 04:00:00,DAD,5.62,1,1,0,0.0,10.6,-10.41,2.02
5991,2026-02-18 15:00:00,SGN,5.62,1,1,0,0.0,12.4,-10.4,6.75
1685,2026-02-23 05:00:00,DAD,5.61,1,1,0,0.0,10.8,-10.38,2.98
1649,2026-02-21 17:00:00,DAD,5.53,1,1,0,0.0,15.3,-10.24,11.37
1712,2026-02-24 08:00:00,DAD,5.53,1,1,0,0.0,10.3,-10.24,1.08
1682,2026-02-23 02:00:00,DAD,5.48,1,1,0,0.0,11.3,-10.16,4.95
5977,2026-02-18 01:00:00,SGN,5.48,1,1,0,0.0,11.4,-10.16,5.18
1283,2026-02-06 11:00:00,DAD,5.46,1,1,0,0.0,13.0,-10.1,8.18
1655,2026-02-21 23:00:00,DAD,5.45,1,1,0,0.0,10.1,-10.09,0.35
1692,2026-02-23 12:00:00,DAD,5.45,1,1,0,0.0,14.8,-10.09,10.82
1706,2026-02-24 02:00:00,DAD,5.45,1,1,0,0.0,10.2,-10.1,1.42
1702,2026-02-23 22:00:00,DAD,5.44,1,1,0,0.0,10.6,-10.08,3.28
6571,2026-03-14 19:00:00,SGN,5.4,1,1,0,0.0,10.0,-10.0,0.0
5319,2026-01-21 15:00:00,SGN,5.37,1,1,0,0.0,11.6,-9.94,5.97
5968,2026-02-17 16:00:00,SGN,5.34,1,1,0,0.0,14.5,-9.89,10.6
1282,2026-02-06 10:00:00,DAD,5.28,1,1,0,0.0,10.4,-9.77,3.56
1680,2026-02-23 00:00:00,DAD,5.27,1,1,0,0.0,11.5,-9.75,6.09
5954,2026-02-17 02:00:00,SGN,5.26,1,1,0,0.0,12.2,-9.74,7.34
1665,2026-02-22 09:00:00,DAD,5.24,1,1,0,0.0,9.7,-9.7,0.17
1715,2026-02-24 11:00:00,DAD,5.24,1,1,0,0.0,12.0,-9.71,7.05
5317,2026-01-21 13:00:00,SGN,5.24,1,1,0,0.0,10.8,-9.71,4.73
1258,2026-02-05 10:00:00,DAD,5.19,1,1,0,0.0,9.7,-9.61,1.35
5953,2026-02-17 01:00:00,SGN,5.18,1,1,0,0.0,12.7,-9.58,8.33
1694,2026-02-23 14:00:00,DAD,5.17,1,1,0,0.0,16.7,-9.58,13.68
1708,2026-02-24 04:00:00,DAD,5.17,1,1,0,0.0,9.7,-9.58,1.52
5606,2026-02-02 14:00:00,SGN,5.17,1,1,0,0.0,11.7,-9.58,6.71
1674,2026-02-22 18:00:00,DAD,5.15,1,1,0,0.0,11.8,-9.55,6.94
1657,2026-02-22 01:00:00,DAD,5.13,1,1,0,0.0,9.5,-9.5,0.17
5964,2026-02-17 12:00:00,SGN,5.11,1,1,0,0.0,9.8,-9.47,2.54
1648,2026-02-21 16:00:00,DAD,5.1,1,1,0,0.0,15.7,-9.45,12.54
5608,2026-02-02 16:00:00,SGN,5.09,1,1,0,0.0,11.0,-9.43,5.67
1801,2026-02-28 01:00:00,DAD,5.07,1,1,0,0.0,10.0,-9.4,3.42
1673,2026-02-22 17:00:00,DAD,5.06,1,1,0,0.0,13.5,-9.38,9.71
5944,2026-02-16 16:00:00,SGN,5.05,1,1,0,0.0,13.7,-9.34,10.02
1259,2026-02-05 11:00:00,DAD,5.04,1,1,0,0.0,10.3,-9.33,4.35
1863,2026-03-02 15:00:00,DAD,5.04,1,1,0,0.0,13.2,-9.33,9.33
5988,2026-02-18 12:00:00,SGN,5.04,1,1,0,0.0,9.4,-9.33,1.15
2359,2025-12-21 07:00:00,HAN,5.03,1,1,0,0.0,9.8,-9.32,3.03
1499,2026-02-15 11:00:00,DAD,5.01,1,1,0,0.0,10.5,-9.27,4.93
