,feature,airport,corr_with_risk_score,auc_for_risk_gt_0,auc_for_risk_ge_2
0,Precip_Cumsum_1H_Mm,ALL,0.25418190300875093,0.6487085414851074,0.6825479646562712
1,Precip_Cumsum_1H_Mm,DAD,0.3152995845485462,0.6971477026305231,0.6818605186694027
2,Precip_Cumsum_1H_Mm,HAN,0.3466354499852334,0.5846831956391549,0.733180946938581
3,Precip_Cumsum_1H_Mm,SGN,0.2368418258453745,0.663292265292133,0.513460219478738
4,Precip_Cumsum_3H_Mm,ALL,0.25109607688320834,0.6473229831282762,0.6654539191919011
5,Precip_Cumsum_3H_Mm,DAD,0.2983366566918085,0.6861262693765297,0.6677264779007592
6,Precip_Cumsum_3H_Mm,HAN,0.31965325839124986,0.5962118221907665,0.7057925228931337
7,Precip_Cumsum_3H_Mm,SGN,0.2298786695850949,0.6425947326120035,0.48836259976306273
8,Precip_Cumsum_6H_Mm,ALL,0.22283974159655803,0.6400793480471834,0.646871664311431
9,Precip_Cumsum_6H_Mm,DAD,0.263727627757764,0.6682140814747536,0.6485609470247278
10,Precip_Cumsum_6H_Mm,HAN,0.2584308964775866,0.5850328186247822,0.6659388268195726
11,Precip_Cumsum_6H_Mm,SGN,0.20653555402804383,0.6396803702457748,0.49141881780770663
