,feature_1,feature_2,abs_corr
1962,Is_Rain,Is_WMO_Rain_Code,1.0
2040,Is_Low_Visibility,Visibility_Below_5000m,1.0
97,precipitation,Precip_Cumsum_1H_Mm,1.0
131,precipitation,precipitation_lag_0h_AUTO,1.0
1657,Precip_Cumsum_1H_Mm,precipitation_lag_0h_AUTO,1.0
474,visibility,Visibility_SM,0.9999998585660685
1213,Headwind_Kmh,Headwind_Kt,0.9999993916863124
225,wind_speed,Wind_Kt,0.9999993770890434
1745,Wind_Gust_Estimate_Kmh,Wind_Gust_Estimate_Kt,0.9999993584974651
1162,Crosswind_Kmh,Crosswind_Kt,0.999999108776084
1783,Crosswind_Max_3H_Kmh,Crosswind_Max_3H_Kt,0.9999990877872004
1263,Tailwind_Default_Runway_Kmh,Tailwind_Default_Runway_Kt,0.9999984646337817
1890,Gust_Variation_Kmh,Gust_Variation_Kt,0.9999966882894239
889,Visibility_Deficit_5KM_M,Visibility_Deficit_3SM_M,0.9994617197478646
2051,Is_Fog,Is_Radiation_Fog_Risk,0.9976586724123382
628,weather_code,Is_WMO_Rain_Code,0.9970254498062684
622,weather_code,Is_Rain,0.9970254498062684
1972,Is_Rain,Runway_Wet_Risk,0.9962314058417847
2143,Is_WMO_Rain_Code,Runway_Wet_Risk,0.9962314058417847
638,weather_code,Runway_Wet_Risk,0.9950151938490378
415,humidity,Dew_Point_Spread_C,0.9843574248522045
2238,Is_Tailwind_Default_Runway_5kt,Forced_Runway_Swap_Risk,0.9814677029924742
2175,Is_Below_3SM_Visibility,Visibility_Below_5000m,0.9765269418336002
2024,Is_Low_Visibility,Is_Below_3SM_Visibility,0.9765269418336002
890,Visibility_Deficit_5KM_M,Visibility_Severity_Score,0.9525769578287839
945,Visibility_Deficit_3SM_M,Visibility_Severity_Score,0.9436518006052218
991,Visibility_Deficit_3SM_M,Visibility_Below_3000m,0.9418941673809976
936,Visibility_Deficit_5KM_M,Visibility_Below_3000m,0.9387655169279809
1318,Wind_Kt,Wind_Gust_Estimate_Kmh,0.9387031133005302
1320,Wind_Kt,Wind_Gust_Estimate_Kt,0.9387015464223448
235,wind_speed,Wind_Gust_Estimate_Kmh,0.9386989825315935
237,wind_speed,Wind_Gust_Estimate_Kt,0.9386969544434216
1028,Visibility_Severity_Score,Is_Below_3SM_Visibility,0.9357072546794295
1044,Visibility_Severity_Score,Visibility_Below_5000m,0.9298354043608373
1023,Visibility_Severity_Score,Is_Low_Visibility,0.9298354043608373
1366,Crosswind_Kt,Crosswind_Max_3H_Kmh,0.926802790596698
1368,Crosswind_Kt,Crosswind_Max_3H_Kt,0.9268025444861472
1172,Crosswind_Kmh,Crosswind_Max_3H_Kmh,0.9268011230141818
1174,Crosswind_Kmh,Crosswind_Max_3H_Kt,0.9268002297765334
