column,coverage_category,in_departure_gold,in_arrival_gold,in_master
A_CDM_TOBT_Deficit,covered_in_flight_eda,True,False,False
Accumulated_Delay,covered_in_flight_eda,True,True,False
Actual_Tail,not_explicitly_profiled_review,False,True,False
Actual_Time,identity_or_timestamp_not_model_feature,True,True,False
Aircraft_Type,covered_in_flight_eda,True,True,False
Airline,identity_or_timestamp_not_model_feature,True,True,False
Airline_Avg_Delay_Rate,not_explicitly_profiled_review,True,False,False
Airline_Delay_Volatility,not_explicitly_profiled_review,True,False,False
Airline_Type,covered_in_flight_eda,True,True,False
Airport,covered_in_flight_eda,True,True,False
Airport_Load_Factor,covered_in_flight_eda,True,True,False
Arrival_Delay,covered_in_flight_eda,True,True,False
Arrival_Flight_Duration_Minutes,not_explicitly_profiled_review,False,True,False
Arrival_Runway,not_explicitly_profiled_review,False,True,False
Aviation_Operational_Risk_Score,weather_feature_reviewed_in_weather_eda,True,True,False
Belt,identity_or_timestamp_not_model_feature,False,True,False
Category,covered_in_flight_eda,True,True,False
Checkin_Counter,identity_or_timestamp_not_model_feature,True,False,False
Checkin_Time,identity_or_timestamp_not_model_feature,True,False,False
Convective_Severity_Score,weather_feature_reviewed_in_weather_eda,True,True,False
Crawl_Date,identity_or_timestamp_not_model_feature,True,True,False
Data_Completeness,covered_in_flight_eda,True,True,False
Departure_Delay,covered_in_flight_eda,True,False,False
Departure_Delay_Reg_Target,covered_in_flight_eda,True,True,False
Departure_Runway,covered_in_flight_eda,True,False,False
Destination,covered_in_flight_eda,True,True,False
Destination_Congestion_Risk,covered_in_flight_eda,True,False,False
Exclude_From_Propagation_Training,covered_in_flight_eda,True,True,False
Flight_Density_Disruption,covered_in_flight_eda,True,True,False
Flight_No,identity_or_timestamp_not_model_feature,True,True,False
Forced_Runway_Swap_Risk,weather_feature_reviewed_in_weather_eda,True,True,False
Gate,identity_or_timestamp_not_model_feature,True,False,False
Ground_Handling_Pressure,covered_in_flight_eda,True,False,False
Has_Matched_Arrival,covered_in_flight_eda,True,True,False
Has_Matched_Departure,covered_in_flight_eda,True,True,False
IATA,covered_in_flight_eda,True,True,False
Is_Aircraft_Swapped,covered_in_flight_eda,True,False,False
Is_Airport_Congested,covered_in_flight_eda,True,False,False
Is_Crosswind_10kt,weather_feature_reviewed_in_weather_eda,True,True,False
Is_Diverted_Prev,covered_in_flight_eda,True,True,False
Is_First_Flight,covered_in_flight_eda,True,True,False
Is_Fixed_Flight,covered_in_flight_eda,True,False,False
Is_Fog,weather_feature_reviewed_in_weather_eda,True,True,False
Is_Heavy_Rain,weather_feature_reviewed_in_weather_eda,True,True,False
Is_Imputed_Link,covered_in_flight_eda,True,True,False
Is_Jet_Bridge,not_explicitly_profiled_review,True,False,False
Is_Long_Ground_Turnaround,covered_in_flight_eda,True,True,False
Is_Low_Ceiling_Risk,weather_feature_reviewed_in_weather_eda,True,True,False
Is_Parallel_Usage,covered_in_flight_eda,True,True,False
Is_Rain,weather_feature_reviewed_in_weather_eda,True,True,False
Is_Remote_Stand,not_explicitly_profiled_review,True,False,False
Is_Return_Emergency,not_explicitly_profiled_review,False,True,False
Is_Same_Origin_Unmatched,not_explicitly_profiled_review,False,True,False
Is_Special_Days,covered_in_flight_eda,True,True,False
Is_Thunderstorm_Risk,weather_feature_reviewed_in_weather_eda,True,True,False
Is_Wide_Body,covered_in_flight_eda,True,True,False
Match_Status,covered_in_flight_eda,True,True,False
Number_of_Flights_in_Last_Hour,covered_in_flight_eda,True,True,False
Origin,covered_in_flight_eda,True,True,False
Peak_Hour_Indicator,covered_in_flight_eda,True,True,False
Prev_Departure_Delay_Airport_1,covered_in_flight_eda,True,True,False
Prev_Departure_Delay_Tail_1,covered_in_flight_eda,True,True,False
Prev_Departure_Delay_Tail_2,covered_in_flight_eda,True,True,False
Prev_Turnaround_Buffer_Tail_1,covered_in_flight_eda,True,True,False
Prev_Turnaround_Buffer_Tail_2,covered_in_flight_eda,True,True,False
Previous_Station_Disruption,covered_in_flight_eda,True,False,False
Record_Type,covered_in_flight_eda,True,True,False
Rolling_Departure_Delay_Airport_3,covered_in_flight_eda,True,True,False
Rolling_Departure_Delay_Tail_3,covered_in_flight_eda,True,True,False
Rolling_Turnaround_Buffer_Tail_3,covered_in_flight_eda,True,True,False
Runway_Swap_Event,drop_or_leakage_risk,True,True,False
Runway_Wet_Risk,weather_feature_reviewed_in_weather_eda,True,True,False
Same_Origin_Action,not_explicitly_profiled_review,False,True,False
Scheduled_Tail,identity_or_timestamp_not_model_feature,True,False,False
Scheduled_Time,identity_or_timestamp_not_model_feature,True,False,False
Standard_Turnaround,covered_in_flight_eda,True,True,False
Status,covered_in_flight_eda,True,True,False
Tail_Sequence_Day,covered_in_flight_eda,True,True,False
Tail_Stagnation_Duration,covered_in_flight_eda,True,False,False
Tail_Stagnation_Duration_Model,covered_in_flight_eda,True,True,False
Taxi_Out_Congestion,covered_in_flight_eda,True,False,False
Terminal,covered_in_flight_eda,True,True,False
Time_of_Day,covered_in_flight_eda,True,True,False
Turnaround_Buffer,covered_in_flight_eda,True,False,False
Turnaround_Buffer_Model,covered_in_flight_eda,True,True,False
Turnaround_Deficit_Min,covered_in_flight_eda,True,True,False
Turnaround_Slack_Min,covered_in_flight_eda,True,True,False
Visibility_Severity_Score,weather_feature_reviewed_in_weather_eda,True,True,False
Weather_Delay_Risk_Score,weather_feature_reviewed_in_weather_eda,True,True,False
