Airport,Record_Type,source,feature,valid,missing_pct,negative_count,zero_count,p01,p05,median,p95,p99,max
DAD,Departure,departure_gold,Departure_Delay,12349,1.3736921971088571,11,8254,0.0,0.0,0.0,70.0,165.0,650.0
DAD,Departure,departure_gold,Departure_Delay_Reg_Target,12349,1.3736921971088571,0,8265,0.0,0.0,0.0,70.0,165.0,240.0
DAD,Departure,departure_gold,Arrival_Delay,12349,1.3736921971088571,4310,2448,-30.519999999999996,-20.0,0.0,46.0,100.0,430.0
DAD,Departure,departure_gold,Accumulated_Delay,12349,1.3736921971088571,0,10710,0.0,0.0,0.0,36.0,114.0,470.0
DAD,Departure,departure_gold,Turnaround_Buffer,12349,1.3736921971088571,0,53,2.0,11.0,60.0,1495.0,4320.0,4320.0
DAD,Departure,departure_gold,Turnaround_Buffer_Model,12148,2.978995287916301,0,0,3.0,12.0,60.0,1450.0,1752.1200000000026,4320.0
DAD,Departure,departure_gold,Tail_Stagnation_Duration,12349,1.3736921971088571,0,6093,0.0,0.0,1.0,1447.0,4320.0,4320.0
DAD,Departure,departure_gold,Tail_Stagnation_Duration_Model,12201,2.5557064132257805,0,6092,0.0,0.0,1.0,1410.0,1692.0,4320.0
DAD,Departure,departure_gold,Turnaround_Deficit_Min,12349,1.3736921971088571,0,6726,0.0,0.0,0.0,34.0,45.0,207.0
DAD,Departure,departure_gold,Turnaround_Slack_Min,12349,1.3736921971088571,0,6093,0.0,0.0,1.0,1447.0,7189.720000000005,121015.0
DAD,Departure,departure_gold,Standard_Turnaround,12349,1.3736921971088571,0,0,45.0,50.0,60.0,100.0,120.0,228.5
DAD,Departure,departure_gold,Tail_Sequence_Day,12349,1.3736921971088571,0,0,1.0,1.0,2.0,5.0,7.0,10.0
DAD,Departure,departure_gold,Prev_Departure_Delay_Tail_1,11700,6.556984266432393,82,3711,0.0,0.0,18.0,90.0,145.0,620.0
DAD,Departure,departure_gold,Prev_Departure_Delay_Tail_2,11553,7.731011900007986,94,3549,0.0,0.0,17.0,97.0,185.0,689.0
DAD,Departure,departure_gold,Prev_Turnaround_Buffer_Tail_1,11749,6.165641721907196,0,0,5.0,16.0,70.0,1460.0,2665.1600000000144,4320.0
DAD,Departure,departure_gold,Prev_Turnaround_Buffer_Tail_2,11390,9.032824854244868,0,0,5.0,16.0,70.0,1396.0,2257.320000000007,4320.0
DAD,Departure,departure_gold,Rolling_Departure_Delay_Tail_3,11960,4.480472805686446,114,1428,0.0,0.0,20.33333333333333,78.33333333333333,135.0766666666665,620.0
DAD,Departure,departure_gold,Rolling_Turnaround_Buffer_Tail_3,11893,5.015573835955594,0,0,20.0,33.0,130.33333333333334,1009.5999999999998,1516.6933333333334,4320.0
DAD,Departure,departure_gold,Prev_Departure_Delay_Airport_1,8800,29.71807363629103,11,8253,0.0,0.0,0.0,10.0,25.0,60.0
DAD,Departure,departure_gold,Rolling_Departure_Delay_Airport_3,12064,3.649868221388068,31,8861,0.0,0.0,0.0,15.0,25.0,55.0
DAD,Departure,departure_gold,Airport_Load_Factor,12349,1.3736921971088571,0,0,0.125,0.2083333333333333,0.625,1.0,1.125,1.2916666666666667
DAD,Departure,departure_gold,Number_of_Flights_in_Last_Hour,12349,1.3736921971088571,0,70,1.0,4.0,14.0,21.0,24.0,28.0
DAD,Departure,departure_gold,Flight_Density_Disruption,12349,1.3736921971088571,0,12349,0.0,0.0,0.0,0.0,0.0,0.0
DAD,Departure,departure_gold,Previous_Station_Disruption,12349,1.3736921971088571,0,12348,0.0,0.0,0.0,0.0,0.0,0.0238095238095238
DAD,Departure,departure_gold,Destination_Congestion_Risk,12349,1.3736921971088571,0,11287,0.0,0.0,0.0,1.0,1.0,1.0
DAD,Departure,departure_gold,Taxi_Out_Congestion,12349,1.3736921971088571,0,2884,0.0,0.0,1.0,4.0,5.0,7.0
DAD,Departure,departure_gold,A_CDM_TOBT_Deficit,12349,1.3736921971088571,0,6059,0.0,0.0,2.0,48.0,59.0,98.0
DAD,Departure,departure_gold,Ground_Handling_Pressure,12349,1.3736921971088571,0,4736,0.0,0.0,1.0,3.0,5.0,7.0
DAD,Departure,departure_gold,Terminal,12521,0.0,0,777,0.0,0.0,1.0,2.0,2.0,2.0
