Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Tail_Number,Aircraft_Type,Category
2025-12-29,23:56,01:29,Nha Trang,CXR,VietJet Air,VJ778,1,11L,Landed,VN-A635,A321,passenger
2025-12-29,23:52,01:33,Ho Chi Minh City,SGN,Vietnam Airlines,VN7226,1,11L,Landed,VN-A879,B78X,passenger
2025-12-29,23:47,03:56,Jakarta,CGK,Citilink,QG8846,2,11L,Landed,PK-GTG,A20N,passenger
2025-12-29,23:43,00:56,Hue,HUI,Vietnam Airlines,VN1548,1,11L,Landed,VN-A604,A321,passenger
2025-12-29,23:41,01:40,Ho Chi Minh City,SGN,VietJet Air,VJ156,1,11L,Landed,VN-A526,A21N,passenger
2025-12-29,23:38,01:42,Ho Chi Minh City,SGN,VietJet Air,VJ190,1,11L,Landed,VN-A641,A321,passenger
2025-12-29,23:34,06:13,Tokyo,NRT,All Nippon Airways,NH8447,0,11L,Landed,JA601F,B763,cargo
2025-12-29,23:31,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ180,1,11L,Landed,VN-A810,A333,passenger
2025-12-29,23:27,04:46,Seoul,ICN,T'way Air,TW61,2,11L,Landed,HL8378,B738,passenger
2025-12-29,23:23,01:39,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ882,1,11L,Landed,VN-A279,A321,passenger
2025-12-29,23:20,01:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN260,1,11L,Landed,VN-A505,A21N,passenger
2025-12-29,23:17,01:48,Can Tho,VCA,VietJet Air,VJ464,1,11L,Landed,VN-A643,A321,passenger
2025-12-29,23:14,00:53,Hue,HUI,Vietnam Airlines,VN7540,1,11L,Landed,VN-A514,A20N,passenger
2025-12-29,23:09,01:02,Da Nang,DAD,VietJet Air,VJ518,1,11L,Landed,VN-A535,A321,passenger
2025-12-29,23:07,01:40,Guangzhou,CAN,China Southern Airlines,CZ371,2,11L,Landed,B-6251,A320,passenger
2025-12-29,23:03,00:55,Hue,HUI,VietJet Air,VJ568,1,11L,Landed,VN-A538,A21N,passenger
2025-12-29,23:00,02:58,Zhengzhou,CGO,Air Central,GI4201,0,11L,Landed,B-5137,B738,cargo
2025-12-29,22:57,01:44,Ho Chi Minh City,SGN,Bamboo Airways,QH286,1,11L,Landed,VN-A585,A321,passenger
2025-12-29,22:55,01:45,Ho Chi Minh City,SGN,VietJet Air,VJ166,1,11L,Landed,VN-A671,A320,passenger
2025-12-29,22:51,04:42,Shijiazhuang,SJW,VietJet Air,VJ7049,2,11L,Landed,VN-A528,A21N,passenger
2025-12-29,22:48,01:30,Siem Reap,SAI,VietJet Air,VJ914,2,11L,Landed,VN-A634,A321,passenger
2025-12-29,22:45,06:02,Tokyo,NRT,All Nippon Airways,NH897,2,11L,Landed,JA876A,B789,passenger
2025-12-29,22:41,01:43,Ho Chi Minh City,SGN,Vietnam Airlines,VN220,1,11L,Landed,VN-A865,B789,passenger
2025-12-29,22:39,06:02,Tokyo,NRT,VietJet Air,VJ935,2,11L,Landed,VN-A545,A21N,passenger
2025-12-29,22:36,04:32,Seoul,ICN,Asiana Airlines,OZ733,2,11L,Landed,HL8362,A359,passenger
2025-12-29,22:33,01:23,Qui Nhon,UIH,VietJet Air,VJ432,1,11L,Landed,VN-A642,A321,passenger
2025-12-29,22:30,05:56,Tokyo,NRT,Japan Airlines,JL751,2,11L,Landed,JA618J,B763,passenger
2025-12-29,22:27,04:35,Seoul,ICN,FedEx,FX9073,0,11L,Landed,N117FE,B763,cargo
2025-12-29,22:23,01:03,Da Nang,DAD,N/A,VN6070,1,11L,Landed,VN-A363,A321,passenger
2025-12-29,22:21,02:46,Kuala Lumpur,KUL,Vietnam Airlines,VN680,2,11L,Landed,VN-A357,A321,passenger
2025-12-29,22:18,01:45,Ho Chi Minh City,SGN,Vietnam Airlines,VN258,1,11L,Landed,VN-A873,B78X,passenger
2025-12-29,22:15,01:47,Ho Chi Minh City,SGN,VietJet Air,VJ196,1,11L,Landed,VN-A820,A333,passenger
2025-12-29,22:13,01:06,Da Nang,DAD,Vietnam Airlines,VN7160,1,11L,Landed,VN-A611,A321,passenger
2025-12-29,22:10,01:34,Phnom Penh,KTI,Vietnam Airlines,VN922,2,11L,Landed,VN-A398,A321,passenger
2025-12-29,22:07,01:47,Ho Chi Minh City,SGN,BBN Airlines Indonesia,QH268,1,11L,Landed,PK-BBK,B739,passenger
2025-12-29,22:05,01:57,Chengdu,TFU,Sichuan Airlines,3U3905,2,11L,Landed,B-6621,A320,passenger
2025-12-29,22:02,01:35,Yangon,RGN,Myanmar Airways International,8M450,2,11L,Landed,XY-ALY,A319,passenger
2025-12-29,21:59,01:50,Can Tho,VCA,Vietnam Airlines,VN1206,1,11L,Landed,VN-A625,A21N,passenger
2025-12-29,21:55,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ154,1,N/A,Landed,VN-A632,A321,passenger
2025-12-29,21:52,01:31,Nha Trang,CXR,Vietnam Airlines,VN1562,1,11L,Landed,VN-A332,A321,passenger
2025-12-29,21:49,01:26,Macau,MFM,Air Macau,NX982,2,29R,Landed,B-MBU,A21N,passenger
2025-12-29,21:45,04:24,Seoul,ICN,Korean Air,KE447,2,11L,Landed,HL8392,B789,passenger
2025-12-29,21:39,00:56,Da Nang,DAD,Vietnam Airlines,VN7196,1,11L,Landed,VN-A602,A321,passenger
2025-12-29,21:22,01:43,Phu Quoc,PQC,VietJet Air,VJ1440,1,N/A,Landed,VN-A546,A21N,passenger
2025-12-29,21:19,01:41,Da Lat,DLI,VietJet Air,VJ410,1,11L,Landed,VN-A668,A320,passenger
2025-12-29,21:16,02:52,Taipei,TPE,VietJet Air,VJ943,2,11L,Landed,VN-A693,A21N,passenger
2025-12-29,21:12,01:28,Bangkok,BKK,Vietnam Airlines,VN618,2,11L,Landed,VN-A606,A321,passenger
2025-12-29,21:10,00:52,Vientiane,VTE,Vietnam Airlines,VN920,2,N/A,Landed,VN-A507,A21N,passenger
2025-12-29,21:07,00:46,Luang Prabang,LPQ,Vietnam Airlines,VN930,2,11L,Landed,VN-A601,A321,passenger
2025-12-29,21:04,01:41,Phu Quoc,PQC,Sun PhuQuoc Airways,SPQ1230,1,11L,Landed,VN-A284,A21N,passenger
2025-12-29,21:00,01:44,Ho Chi Minh City,SGN,Bamboo Airways,QH262,1,11L,Landed,ER-00005,A320,passenger
2025-12-29,20:58,04:36,Denpasar,DPS,VietJet Air,VJ998,2,N/A,Landed,VN-A516,A21N,passenger
2025-12-29,20:55,01:00,Da Nang,DAD,Vietravel Airlines,VU658,1,29R,Landed,VN-A136,A320,passenger
2025-12-29,20:52,01:52,Ho Chi Minh City,SGN,VietJet Air,VJ158,1,11L,Landed,VN-A661,A321,passenger
2025-12-29,20:49,01:12,Da Nang,DAD,Vietnam Airlines,VN188,1,11L,Landed,VN-A513,A20N,passenger
2025-12-29,20:46,04:27,Seoul,ICN,Vietnam Airlines,VN415,2,11L,Landed,VN-A892,A359,passenger
2025-12-29,20:43,05:48,Tokyo,HND,Vietnam Airlines,VN385,2,11L,Landed,VN-A861,B789,passenger
2025-12-29,20:41,09:11,Sydney,SYD,Vietnam Airlines,VN786,2,11L,Landed,VN-A898,A359,passenger
2025-12-29,20:38,01:32,Phnom Penh,KTI,Air Cambodia,K6850,2,11L,Landed,XU-353,A320,passenger
2025-12-29,20:34,01:18,Bangkok,BKK,VietJet Air,VJ904,2,11L,Landed,VN-A542,A321,passenger
